1,ADUANAS,7
2,BANCA Y FINANZAS,7
3,GERENCIA INDUSTRIAL,7
4,INFORMATICA,7
5,MERCADEO,7
6,ORGANIZACION Y SISTEMAS,7
7,RECURSOS HUMANOS,7
8,TURISMO,7
9,TRIBUTACION,7
10,ANTROPOLOGIA SOCIAL Y CULTURAL,119
11,AUDIOVISUALES,133
12,DANZA,133
13,TEATRO,133
14,ES RENTAS ADUANAS Y COMERCIO EXTERIOR FINANZAS PUBLICAS,238
15,FORMACION POLITICA,1337
16,TURISMO,525
17,INGLES,517
18,ELECTRICIDAD,554
19,MECANICA,554
20,AGROPECUARIA,517
21,ARTES,517
22,BASICA INTEGRAL,517
23,BIOLOGIA,517
24,BIOLOGIA Y QUIMICA,517
25,CASTELLANO Y LITERATURA,517
26,CIENCIAS FISICO NATURALES,517
27,CIENCIAS SOCIALES,517
28,CIENCIAS Y TECNOLOGIA DE LA EDUCACION,517
29,COMPUTACION,517
30,EDUCACION FISICA,517
31,EDUCACION FISICA Y DEPORTES,517
32,EDUCACION FISICA DEPORTE Y RECREACION,517
33,FISICA,517
34,FISICA Y MATEMATICA,517
35,GEOGRAFIA,517
36,GEOGRAFIA E HISTORIA,517
37,GEOGRAFIA Y CIENCIAS DE LA TIERRA,517
38,HISTORIA,517
39,IDIOMAS MODERNOS,517
40,INFORMATICA,517
41,INFORMATICA Y MATEMATICA,517
42,INTEGRAL,517
43,INTEGRAL TECNICA,517
44,LENGUA Y LITERATURA,517
45,LENGUA LITERATURA Y LATIN,517
46,LENGUAS EXTRANJERAS,517
47,LENGUAS MODERNAS,517
48,MATEMATICA,517
49,MATEMATICA Y FISICA,517
50,MUSICA,517
51,ORIENTACION,517
52,PREESCOLAR,517
53,QUIMICA,517
54,TECNICA INDUSTRIAL,517
55,TECNICA MERCANTIL,517
56,ARTES ESCENICAS,517
57,ARTES PLASTICAS,517
58,CASTELLANO LITERATURA Y LATIN,517
59,CIENCIAS DE LA TIERRA,517
60,DIBUJO TECNICO,517
61,EDUCACION COMERCIAL,517
62,EDUCACION ESPECIAL EN DIFICULTADES DEL APRENDIZAJE,517
63,EDUCACION ESPECIAL EN DISCAPACIDAD INTELECTUAL Y DESARROLLO,517
64,EDUCACION ESPECIAL PARA PERRSONAS EN SITUACION DE DISCAPACIDAD,517
65,EDUCACION ESPECIAL PARA SORDOS,517
66,EDUCACION INICIAL,517
67,EDUCACION INTERCULTURAL BILINGUE,517
68,EDUCACION MUSICAL,517
69,EDUCACION PRIMARIA,517
70,EDUCACION RURAL,517
71,ELECTRICIDAD INDUSTRIAL,517
72,ELECTRONICA INDUSTRIAL,517
73,FRANCES,517
74,MECANICA INDUSTRIAL,517
75,PEDAGOGIA SOCIAL,517
76,AGROECOLOGIA,517
77,TELECOMUNICACIONES TECNICA,592
78,GAS,1036
79,PETROLEO,1036
80,HISTORIA DEL ARTE,1133
81,LENGUA Y LITERATURA HISPANOAMERICANA Y VENEZOLANA,1133
82,DOCENCIA EN MATEMATICA,1180
83,COMERCIO EXTERIOR,1251
84,PUBLICIDAD,1251
85,INDUSTRIA,766
86,CERAMICA,1413
87,METALURGIA,1413
88,PROCESAMIENTO Y CONTROL DE CALIDAD DE LOS ALIMENTOS,1692
89,CONSTRUCCION NAVAL,1724
90,HOTELERIA TECNICA,1779
91,CIENCIAS SOCIALES AREA GEOGRAFIA AREA HISTORIA,517
92,EMPRESAS,7
93,FINANZAS,21
94,DOCENCIA EN IDIOMA INGLES,517
95,ORIENTACION Y ASESORAMIENTO,517
96,EDUCACION INTEGRAL,1483
97,NAVEGACION,256
98,DIFICULTADES DE APRENDIZAJE,517
99,PRODUCCION,246
100,GEOGRAFIA HISTORIA Y CIUDADANIA,1490
101,ADMINISTRACION DE RECURSOS HUMANOS,7
102,GERENCIA DE TALENTO HUMANO,441
103,INGLES,567
104,GEOGRAFIA HISTORIA Y CIUDADANIA,567
105,ADMINISTRACION PUBLICA,274
106,ADMINISTRACION DE EMPRESAS,7
107,PERIODISMO IMPRESO,315
108,ADMINISTRACION DE EMPRESAS,441
109,ELECTROMECANICA,274
110,PUBLICIDAD Y RELACIONES PUBLICAS,315
111,PLANIFICACION EDUCATIVA,517
112,EDUCACION ESPECIAL EN DIFICULTADES DEL APRENDIZAJE,1483
113,RECURSOS HUMANOS,67
114,ADMINISTRACION,441
115,INGLES,1483
116,INDUSTRIAL,993
117,GERENCIA ADMINISTRATIVA,7
118,POLICIAL,1617
119,AGROECOLOGIA,1337
120,ORIENTACION EN SEXOLOGIA,200
121,EDUCACION RURAL,1483
122,PEDAGOGICA DE LA EDUCACION FISICA,220
123,DISENO GRAFICO,130
124,CALIDAD DEL AGUA,1611
125,ADMINISTRACION FISCAL Y TRIBUTARIA,7
126,EDUCACION INICIAL Y PRIMERA ETAPA DE EDUCACION BASICA,517
127,ADMINISTRACION DE EMPRESAS AGROPECUARIAS,7
128,DESARROLLO COMUNITARIO,517
129,GESTION SOCIAL COMUNITARIA,441
130,PERIODISMO AUDIOVISUAL,315
131,EJECUCION INSTRUMENTAL VIOLIN SOLISTA SINFONICO,1273
132,ADUANAS,65
133,FINANZAS,7
134,FINANZAS,862
135,ADMINISTRACION PUBLICA,276
136,DESARROLLO CULTURAL,517
137,FISCALIZACION LABORAL,441
138,ADMINISTRACION DE EMPRESAS,1682
139,CLINICA,1531
140,AGROALIMENTACION,441
141,EJECUCION INSTRUMENTAL VIOLONCELLO,1273
142,ADMINISTRACION DE PERSONAL,7
143,RETARDO MENTAL Y PROBLEMAS EMOCIONALES,1540
144,LENGUA Y LITERATURAS CLASICAS,1133
145,CALIDAD DEL AGUA,1086
146,PEDAGOGIA DE LA EDUCACION FISICA,220
147,EDUCACION,947
148,ORIENTACION DE LA CONDUCTA,200
149,CIENCIAS BIOLOGICAS,517
150,CIENCIAS PEDAGOGICAS,517
151,EDUCACION INTEGRAL TECNICA,517
152,DIFICULTADES DEL APRENDIZAJE TECNICA,544
153,ARTES INDUSTRIALES,517
154,CIENCIAS DE LA RELIGION,517
155,FILOSOFIA,517
156,PEDAGOGIA RELIGIOSA,517
157,TEOLOGIA,517
158,EDUCACION PREESCOLAR TECNICA,517
159,CIENCIAS RELIGIOSAS TECNICA,517
160,RETARDO MENTAL TECNICA,544
161,HISTORIA Y GEOGRAFIA,517
162,PEDAGOGIA RELIGIOSA TECNICA,517
163,PREESCOLAR TECNICA,517
164,HISTORIA TECNICA,517
165,EDUCACION ESPECIAL TECNICA,517
166,ADMINISTRACION,752
167,BANCA Y SEGUROS,7
168,RECURSOS HUMANOS TECNICA,7
169,CONTABILIDAD Y FINANZAS,7
170,BANCA,13
171,PERSONAL,21
172,COSTOS,7
173,BANCA Y FINANZAS TECNICA,7
174,GERENCIA Y MERCADEO,7
175,RELACIONES INDUSTRIALES,7
176,TRANSPORTE Y DISTRIBUCION DE BIENES,7
177,COMERCIO EXTERIOR,7
178,RIESGOS Y SEGUROS TECNICA,7
179,SEGUROS MERCANTILES,7
180,PROGRAMAS SOCIALES,7
181,AUDIOVISUAL,315
182,SERVICIOS TURISTICOS TECNICA,1779
183,MUSEOLOGIA,130
184,MUSICOLOGIA,1273
185,MUSICA,130
186,INGLES,948
187,INGLES,949
188,ADMINISTRACION BANCARIA,441
189,TELECOMUNICACIONES,1019
190,MANTENIMIENTO,1074
191,MECANICA NAVAL,1724
192,NAVEGACION Y PESCA,1724
193,AUTOMATIZACION Y CONTROL,1019
194,MANTENIMIENTO,599
195,MECATRONICA,1019
196,ADMINISTRACION INTEGRAL,441
197,PLANIFICACION Y EVALUACION DE LA EDUCACION,200
198,EDUCACION PREESCOLAR,1483
199,EDUCACION INICIAL,1483
200,PLANIFICACION DE LA EDUCACION,220
201,GESTION Y PLANIFICACION PUBLICA,441
202,RIESGOS Y SEGUROS,20
203,GEOGRAFIA E HISTORIA,1483
204,SUPERVISION DE OBRAS CIVILES,441
205,GESTION SOCIAL,441
206,GERENCIA DE RECURSOS HUMANOS,202
207,EDUCACION INTEGRAL,517
208,CIENCIAS COMERCIALES,7
209,EDUCACION PARA EL TRABAJO Y EL DESARROLLO ENDOGENO,517
210,GESTION DE RIESGO,1337
211,RIESGOS Y SEGUROS,7
212,DESARROLLO SOCIAL,315
213,PLANIFICACION Y CONTROL TRIBUTARIO,238
214,EDUCACION AGROPECUARIA,1483
215,EMPRESARIAL,949
216,GERENCIA DE TALENTO HUMANO,202
217,GESTION ADMINISTRATIVA,441
218,FUTBOL SALA,649
219,ENSENANZA DE LA MATEMATICA,1337
220,EDUCACION SUPERIOR,517
